2024年度秋セメスター　時間割 (2017カリキュラムAPS生対象科目),,,,,,,,,,,,,,
AY2024 Fall Semester Timetable (For 2017 APS Curriculum students),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"-Online講義は、D列に「〇」が記載されています。講義名の先頭に開講形態(Online)が記載されています。何も記載がない場合には原則対面講義となります。
-「配当セメ」の数字はその科目を受講することができるセメスターを示しています。（例）「3」と記載されている場合には、3セメスター生以上の学生が履修することができます。
-各科目の履修要件（単位数・前提科目・履修制限・単位集計分野、登録可能な期間等）については、科目一覧表をご確認ください（アカデミック・オフィスHP＞第8～10章＞カリキュラム図・科目一覧）。

-For Online Lectures, ""〇"" is marked in column D. Forms of class implementation (Online) are included as part of the 'Subject Name' . If there is no specification, it means that the class is offered on-campus.
Semester,金/Fri.,3,,,D213,010091DG,日本語初級Ⅱ DG,Japanese Foundation Course II DG,大内 由紀,OUCHI Yuki,,1,言語/Language,-
Semester,金/Fri.,3,,,D201,010101DA,日本語中級 DA,Japanese Intermediate Course DA,板橋 民子,ITABASHI Tamiko,,1,言語/Language,-
Semester,金/Fri.,3,,,F205,010101DB,日本語中級 DB,Japanese Intermediate Course DB,寺本 真悠子,TERAMOTO Mayuko,,1,言語/Language,-
Semester,金/Fri.,3,,,D109,010101DC,日本語中級 DC,Japanese Intermediate Course DC,板井 芳江,ITAI Yoshie,,1,言語/Language,-
Semester,金/Fri.,3,,,D111,010101DD,日本語中級 DD,Japanese Intermediate Course DD,深山 道助,MIYAMA MICHISUKE,,1,言語/Language,-
Semester,金/Fri.,3,,,F212,010101DE,日本語中級 DE,Japanese Intermediate Course DE,小野田 千絵,ONODA Chie,,1,言語/Language,-
Semester,金/Fri.,3,,,F108,010101DF,日本語中級 DF,Japanese Intermediate Course DF,星野 智子,HOSHINO Tomoko,,1,言語/Language,-
Semester,金/Fri.,3,,,F213,010101DG,日本語中級 DG,Japanese Intermediate Course DG,多田 利恵,TADA Rie,,1,言語/Language,-
Semester,金/Fri.,3,,,F303,010101DH,日本語中級 DH,Japanese Intermediate Course DH,津田 真理子,TSUDA Mariko,,1,言語/Language,-
Semester,金/Fri.,3,,,F302,010101DI,日本語中級 DI,Japanese Intermediate Course DI,大池 森,OIKE SHIN,,1,言語/Language,-
Semester,金/Fri.,3,,,F214,010101DJ,日本語中級 DJ,Japanese Intermediate Course DJ,佐々木 美江,SASAKI Mie,,1,言語/Language,-
Semester,金/Fri.,3,,,F208,010101DK,日本語中級 DK,Japanese Intermediate Course DK,伊達 久美子,DATE Kumiko,,1,言語/Language,-
Semester,金/Fri.,3,,,D303,010102DA,日本語中上級 DA,Pre-Advanced Japanese DA,渡辺 若菜,WATANABE Wakana,,1,言語/Language,-
Semester,金/Fri.,3,,,J308,010102DB,日本語中上級 DB,Pre-Advanced Japanese DB,大原 哲史,OHARA Tetsushi,,1,言語/Language,-
Semester,金/Fri.,3,,,FⅡ124,010102DC,日本語中上級 DC,Pre-Advanced Japanese DC,水戸 貴久,MITO Takahisa,,1,言語/Language,-
Semester,金/Fri.,3,,,D212,010103DA,日本語上級 DA,Advanced Japanese DA,井上 佳子,INOUE Yoshiko,,1,言語/Language,-
Semester,金/Fri.,3,,,FⅡ322,010180OB,中国語Ⅰ OB,Chinese I OB,HUNG Yu-Ting,HUNG Yu-Ting,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ324,010180OE,中国語Ⅰ OE,Chinese I OE,河原畑 希久,KAWARABATA Kiku,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ320,010190OC,中国語Ⅱ OC,Chinese II OC,李 娜,LI Na,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ325,010200OA,中国語Ⅲ OA,Chinese III OA,羅 華,LUO Hua,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ234,010220OD,韓国語Ⅰ OD,Korean I OD,李 ソヨン,LEE Soyeong,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ233,010220OI,韓国語Ⅰ OI,Korean I OI,朴 映勳,PARK YoungHoon,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ231,010230OA,韓国語Ⅱ OA,Korean II OA,OH Young Min,OH Young Min,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ230,010240OB,韓国語Ⅲ OB,Korean III OB,CHO Heejin,CHO Heejin,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ330,010260OC,マレー語･インドネシア語Ⅰ OC,Malay/Indonesian I OC,SAPUTRO Ghozali,SAPUTRO Ghozali,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ331,010260OD,マレー語･インドネシア語Ⅰ OD,Malay/Indonesian I OD,藤崎 拓海,FUJISAKI Takumi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ328,010270OA,マレー語･インドネシア語Ⅱ OA,Malay/Indonesian II OA,SRI Budi Lestari,SRI Budi Lestari,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ226,010290OB,スペイン語Ⅰ OB,Spanish I OB,福川 美沙,FUKUKAWA Misa,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ223,010290OD,スペイン語Ⅰ OD,Spanish I OD,GIMENEZ M. Carolina,GIMENEZ MILAN Carolina,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ229,010320OA,タイ語Ⅰ OA,Thai I OA,LIMTHANANUNTHA P.,LIMTHANANUNTHA Phenssinee,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ228,010330OA,タイ語Ⅱ OA,Thai II OA,PHANKHIAN Areeluck,PHANKHIAN Areeluck,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ326,010350OB,ベトナム語Ⅰ OB,Vietnamese I OB,NGUYEN Ha Thi Thanh,NGUYEN Ha Thi Thanh,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,FⅡ327,010350OC,ベトナム語Ⅰ OC,Vietnamese I OC,NGUYEN Hoang Minh,NGUYEN Hoang Minh,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,D208,011100EB,英語初級A EB,Elementary English A EB,PIGNOLET Lucas,PIGNOLET Lucas,,1,言語/Language,英語English
Semester,金/Fri.,3,,,FⅡ123,011102EI,英語準中級A EI,Pre-Intermediate English A EI,LARKING Malcolm,LARKING Malcolm,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D107,011102EJ,英語準中級A EJ,Pre-Intermediate English A EJ,CROWLEY Kevin,CROWLEY Kevin,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D105,011102EK,英語準中級A EK,Pre-Intermediate English A EK,斉藤 沙綾香,SAITO Sayaka,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D108,011102EL,英語準中級A EL,Pre-Intermediate English A EL,廣松 大和,HIROMATSU Yamato,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D104,011102EM,英語準中級A EM,Pre-Intermediate English A EM,WALLER Roland C.,WALLER Roland C.,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D103,011102EN,英語準中級A EN,Pre-Intermediate English A EN,SILVA Matthew Shawn,SILVA Matthew Shawn,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D301,011102EO,英語準中級A EO,Pre-Intermediate English A EO,APPLE Derrick,APPLE Derrick Alan,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D102,011102EP,英語準中級A EP,Pre-Intermediate English A EP,MARZONA Nikki,MARZONA Nikki,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D305,011106EJ,英語準上級A EJ,Upper Intermediate English A EJ,YIP Jordan,YIP Jordan,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D204,011106EK,英語準上級A EK,Upper Intermediate English A EK,HERRERA Girlie Ann,HERRERA Girlie Ann R.,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D205,011106EL,英語準上級A EL,Upper Intermediate English A EL,JAI Rheumi Rhubi,JAI Rheumi Rhubi,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D304,011106EM,英語準上級A EM,Upper Intermediate English A EM,PRIEST William,PRIEST William,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D302,011106EN,英語準上級A EN,Upper Intermediate English A EN,ARMSTRONG Luke,ARMSTRONG Luke,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D214,011106EO,英語準上級A EO,Upper Intermediate English A EO,GIACOMELLI Joely,GIACOMELLI Joely,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D207,011106EP,英語準上級A EP,Upper Intermediate English A EP,MCGRATH Darby,MCGRATH Darby,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D203,011106EQ,英語準上級A EQ,Upper Intermediate English A EQ,GEDARRO Randy Yoshio,GEDARRO Randy Yoshio,,1,言語/Language,英語English
Semester,金/Fri.,3,,,D206,011106ER,英語準上級A ER,Upper Intermediate English A ER,JOHNSTON Patrick J,JOHNSTON Patrick J,,1,言語/Language,英語English
Semester,金/Fri.,3,,,FⅡ224,011106ES,英語準上級A ES,Upper Intermediate English A ES,STILP Lance Joseph,STILP Lance Joseph,,1,言語/Language,英語English
Semester,金/Fri.,3,,,F109,01150001,講義の日本語 01,Japanese for Lectures 01,寺嶋 弘道,TERAJIMA Hiromichi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,D106,01700101,キャリア日本語 01,Career Japanese 01,伊藤 俊也,ITO Toshinari,,5,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,3,,,J204,027003EF,統計学EF,StatisticsEF,LANGLEY Raymond,LANGLEY Raymond,E,2,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,金/Fri.,3,,,J101,027012EL,スタディスキル・アカデミックライティングEL,Study Skills and Academic WritingEL,三好 登,MIYOSHI Noboru,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,金/Fri.,3,,,J105,027012EN,スタディスキル・アカデミックライティングEN,Study Skills and Academic WritingEN,COUSINS Elicia,COUSINS Elicia Mayuri,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,金/Fri.,3,,,HPS,027029ET,茶道ET,Japanese Art of Tea CeremonyET,宗泰 ポンパン,SOTAI Pongpan,E,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,金/Fri.,3,,,H201,030195JA,アイデンティティと政治JA,Identity and PoliticsJA,牧野 正義,MAKINO Masayoshi,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
Semester,金/Fri.,3,,,SPR 3,03207062,専門演習Ⅱ 62,Major Seminar II 62,齊藤 広晃,SAITO Hiroaki,E/J,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,金/Fri.,3,,,SPR 3,03307060,専門演習Ⅱ 60,Major Seminar II 60,齊藤 広晃,SAITO Hiroaki,E/J,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,金/Fri.,3,,,SPR 2,03307067,専門演習Ⅱ 67,Major Seminar II 67,ACKARADEJRUANGSRI P.,ACKARADEJRUANGSRI P.,E,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,金/Fri.,3,,,SPR 4,03307078,専門演習Ⅱ 78,Major Seminar II 78,奥山 亮,OKUYAMA Ryo,J,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,金/Fri.,3,,,J102,037117JA,基礎演習（文化・社会・メディア）JA,"Preliminary Seminar for Culture, Society and MediaJA",大田 千波留,OTA Chiharu,J,3,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
Semester,金/Fri.,3,,,SPR 7,03715531,卒業研究I 31,Graduation Research I31,VYAS Utpal,VYAS Utpal,E,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,金/Fri.,3,,,SPR 1,03715569,卒業研究I 69,Graduation Research I69,GOMEZ Oscar A.,GOMEZ Oscar A.,E,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
1Q,金/Fri.,3,,,H101,027004JB,平和・ヒューマニティ・民主主義JB,"Peace, Humanity and DemocracyJB",淵ノ上 英樹,FUCHINOUE Hideki,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,金/Fri.,3,,,F204,030820EB,国際金融論EB,International FinanceEB,渡邉 正太郎,WATANABE Shotaro,E,5,他学部/Other College,他学部科目Other College Subjects
1Q,金/Fri.,3,,,F201,030861JA,国際会計JA,International AccountingJA,小澤 朋之,OZAWA Tomoyuki,J,5,他学部/Other College,他学部科目Other College Subjects
1Q,金/Fri.,3,,,F106,037107EA,農業遺産とツーリズムEA,Agri-heritage and TourismEA,VAFADARI M. Kazem,VAFADARI M. Kazem,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
2Q,金/Fri.,3,,,IPS 5,030273JA,GISとリモートセンシングJA,GIS and Remote SensingJA,ピシュバ ダバー,PISHVA Davar,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
2Q,金/Fri.,3,,,F204,030346EA,ホスピタリティ・マーケティングEA,Hospitality MarketingEA,橋本 俊作,HASHIMOTO Shunsaku,E,3,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
2Q,金/Fri.,3,,,F105,033030EB,経営戦略論EB,Strategic ManagementEB,GONG Yuanyuan,GONG Yuanyuan,E,3,他学部/Other College,他学部科目Other College Subjects
2Q,金/Fri.,3,,,F106,037145JA,グローバルメディアと紛争JA,Global Media and ConflictJA,竹川 俊一,TAKEKAWA Shunichi,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
2Q,金/Fri.,3,,,F201,037202JA,会計　特殊講義JA,Special Lecture in AccountingJA,小澤 朋之,OZAWA Tomoyuki,J,5,他学部/Other College,他学部科目Other College Subjects
Semester,金/Fri.,4,,,FⅡ227,010091CA,日本語初級Ⅱ CA,Japanese Foundation Course II CA,小山 いずみ,KOYAMA Izumi,,1,言語/Language,-
Semester,金/Fri.,4,,,F303,010091CB,日本語初級Ⅱ CB,Japanese Foundation Course II CB,高田 亮,TAKADA Ryo,,1,言語/Language,-
Semester,金/Fri.,4,,,FⅡ225,010091CC,日本語初級Ⅱ CC,Japanese Foundation Course II CC,高松 知恵美,TAKAMATSU Chiemi,,1,言語/Language,-
Semester,金/Fri.,4,,,F211,010091CD,日本語初級Ⅱ CD,Japanese Foundation Course II CD,バナ 登美子,BONNAH Tomiko,,1,言語/Language,-
Semester,金/Fri.,4,,,D213,010091CE,日本語初級Ⅱ CE,Japanese Foundation Course II CE,大内 由紀,OUCHI Yuki,,1,言語/Language,-
Semester,金/Fri.,4,,,F206,010091CF,日本語初級Ⅱ CF,Japanese Foundation Course II CF,栃原 玲子,TOCHIHARA Reiko,,1,言語/Language,-
Semester,金/Fri.,4,,,D111,010091CG,日本語初級Ⅱ CG,Japanese Foundation Course II CG,ジョーダン 光知子,JORDAN Michiko,,1,言語/Language,-
Semester,金/Fri.,4,,,D101,010091CH,日本語初級Ⅱ CH,Japanese Foundation Course II CH,後藤 美智子,GOTO Michiko,,1,言語/Language,-
Semester,金/Fri.,4,,,F213,010091CI,日本語初級Ⅱ CI,Japanese Foundation Course II CI,成 利楽,CHENG Lile,,1,言語/Language,-
Semester,金/Fri.,4,,,F302,010091CJ,日本語初級Ⅱ CJ,Japanese Foundation Course II CJ,大内 紹子,OUCHI Shoko,,1,言語/Language,-
Semester,金/Fri.,4,,,F108,010092CK,日本語初級Ⅲ CK,Japanese Foundation Course III CK,石村 文恵,ISHIMURA Fumie,,1,言語/Language,-
Semester,金/Fri.,4,,,F304,010092CL,日本語初級Ⅲ CL,Japanese Foundation Course III CL,吉田 真宏,YOSHIDA Masahiro,,1,言語/Language,-
Semester,金/Fri.,4,,,F208,010092CM,日本語初級Ⅲ CM,Japanese Foundation Course III CM,廣津 公子,HIROTSU Koko,,1,言語/Language,-
Semester,金/Fri.,4,,,F205,010092CN,日本語初級Ⅲ CN,Japanese Foundation Course III CN,井筒 琴子,IZUTSU Kotomi,,1,言語/Language,-
Semester,金/Fri.,4,,,F212,010092CO,日本語初級Ⅲ CO,Japanese Foundation Course III CO,高野 涼子,TAKANO Ryoko,,1,言語/Language,-
Semester,金/Fri.,4,,,F214,010092CP,日本語初級Ⅲ CP,Japanese Foundation Course III CP,上田 優花,UEDA Yuka,,1,言語/Language,-
Semester,金/Fri.,4,,,FⅡ321,010180OC,中国語Ⅰ OC,Chinese I OC,張 玲,ZHANG Ling,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ320,010180OG,中国語Ⅰ OG,Chinese I OG,王 楓,WANG Feng,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ322,010190OD,中国語Ⅱ OD,Chinese II OD,PANG Longjie,PANG Longjie,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ230,010220OF,韓国語Ⅰ OF,Korean I OF,CHO Heejin,CHO Heejin,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ231,010220OH,韓国語Ⅰ OH,Korean I OH,金 奈愛,KIM Naae,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ233,010230OB,韓国語Ⅱ OB,Korean II OB,朴 映勳,PARK YoungHoon,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ232,010250OA,韓国語Ⅳ OA,Korean IV OA,JUNG Jonghee,JUNG Jonghee,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ331,010260OE,マレー語･インドネシア語Ⅰ OE,Malay/Indonesian I OE,藤崎 拓海,FUJISAKI Takumi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ224,010290OE,スペイン語Ⅰ OE,Spanish I OE,MOLINA Noemi,MOLINA RODRIGUEZ Noemi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ226,010300OB,スペイン語Ⅱ OB,Spanish II OB,福川 美沙,FUKUKAWA Misa,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,FⅡ228,010320OC,タイ語Ⅰ OC,Thai I OC,PHANKHIAN Areeluck,PHANKHIAN Areeluck,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,D107,011102EA,英語準中級A EA,Pre-Intermediate English A EA,CROWLEY Kevin,CROWLEY Kevin,,1,言語/Language,英語English
Semester,金/Fri.,4,,,FⅡ123,011102EB,英語準中級A EB,Pre-Intermediate English A EB,LARKING Malcolm,LARKING Malcolm,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D105,011102EC,英語準中級A EC,Pre-Intermediate English A EC,斉藤 沙綾香,SAITO Sayaka,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D301,011102ED,英語準中級A ED,Pre-Intermediate English A ED,APPLE Derrick,APPLE Derrick Alan,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D104,011102EE,英語準中級A EE,Pre-Intermediate English A EE,WALLER Roland C.,WALLER Roland C.,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D103,011102EF,英語準中級A EF,Pre-Intermediate English A EF,SILVA Matthew Shawn,SILVA Matthew Shawn,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D108,011102EG,英語準中級A EG,Pre-Intermediate English A EG,廣松 大和,HIROMATSU Yamato,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D102,011102EH,英語準中級A EH,Pre-Intermediate English A EH,MARZONA Nikki,MARZONA Nikki,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D305,011104EA,英語中級A EA,Intermediate English A EA,CONNER Matthew David,CONNER Matthew David,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D210,011104EB,英語中級A EB,Intermediate English A EB,RENTLER Benjamin,RENTLER Benjamin Robert,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D207,011104EC,英語中級A EC,Intermediate English A EC,GRANT Collette S.,GRANT Collette Sharlene,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D303,011104ED,英語中級A ED,Intermediate English A ED,BERNARD Malia Ana,BERNARD Malia Ana,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D304,011104EE,英語中級A EE,Intermediate English A EE,BEUCKENS Roger Todd,BEUCKENS Roger Todd,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D208,011104EF,英語中級A EF,Intermediate English A EF,KRALIKAUSKAS Ellada,KRALIKAUSKAS Ellada,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D201,011104EG,英語中級A EG,Intermediate English A EG,PIKE Luke Richard,PIKE Luke Richard,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D202,011104EH,英語中級A EH,Intermediate English A EH,FORTUNA Roniel,FORTUNA Roniel Sanchez,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D209,011104EI,英語中級A EI,Intermediate English A EI,KERR Joshua,KERR Joshua Earl,,1,言語/Language,英語English
Semester,金/Fri.,4,,,CAI 2,011107EA,英語準上級B EA,Upper Intermediate English B EA,JAI Rheumi Rhubi,JAI Rheumi Rhubi,,1,言語/Language,英語English
Semester,金/Fri.,4,,,CAI 6,011107EB,英語準上級B EB,Upper Intermediate English B EB,SAUNDERS Matt,SAUNDERS Matt,,1,言語/Language,英語English
Semester,金/Fri.,4,,,CAI 1,011107EC,英語準上級B EC,Upper Intermediate English B EC,GEDARRO Randy Yoshio,GEDARRO Randy Yoshio,,1,言語/Language,英語English
Semester,金/Fri.,4,,,CAI 8,011107ED,英語準上級B ED,Upper Intermediate English B ED,SCHWEHR Owen Richard,SCHWEHR Owen Richard,,1,言語/Language,英語English
Semester,金/Fri.,4,,,CAI 10,011107EE,英語準上級B EE,Upper Intermediate English B EE,USREY Kaylin Rose,USREY Kaylin Rose,,1,言語/Language,英語English
Semester,金/Fri.,4,,,CAI 7,011107EF,英語準上級B EF,Upper Intermediate English B EF,眞邉 昌一,MANABE Shoichi,,1,言語/Language,英語English
Semester,金/Fri.,4,,,CAI 3,011107EG,英語準上級B EG,Upper Intermediate English B EG,JOHNSTON Patrick J,JOHNSTON Patrick J,,1,言語/Language,英語English
Semester,金/Fri.,4,,,CAI 4,011107EH,英語準上級B EH,Upper Intermediate English B EH,HERRERA Girlie Ann,HERRERA Girlie Ann R.,,1,言語/Language,英語English
Semester,金/Fri.,4,,,CAI 5,011107EI,英語準上級B EI,Upper Intermediate English B EI,HU Cindy Hsin Yu,HU Cindy Hsin Yu,,1,言語/Language,英語English
Semester,金/Fri.,4,,,D211,017014CA,英語検定試験対策講座Ⅱ CA,English Proficiency Test Preparation Course II CA,ベルガー 舞子,BERGER Maiko,,3,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,金/Fri.,4,,,F202,021013EB,アジア太平洋の言語EB,Languages of the Asia PacificEB,BLACKWELL James,BLACKWELL James,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,金/Fri.,4,,,F106,030034EA,組織社会学EA,Sociology of OrganizationsEA,眞田 貴絵,SANADA Kie,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
Semester,金/Fri.,4,,,J204,030564EF,基礎数学EF,Fundamental MathematicsEF,LANGLEY Raymond,LANGLEY Raymond,E,3,他学部/Other College,他学部科目Other College Subjects
Semester,金/Fri.,4,,,SPR 9,03207012,専門演習Ⅱ 12,Major Seminar II 12,木村 力央,KIMURA Rikio,J,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,金/Fri.,4,,,F301,03207043,専門演習Ⅱ 43,Major Seminar II 43,MAHICHI Faezeh,MAHICHI Faezeh,E,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,金/Fri.,4,,,SPR 1,03207069,専門演習Ⅱ 69,Major Seminar II 69,GOMEZ Oscar A.,GOMEZ Oscar A.,E,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,金/Fri.,4,,,F105,033033EB,ビジネスエシックスEB,Business EthicsEB,GONG Yuanyuan,GONG Yuanyuan,E,5,他学部/Other College,他学部科目Other College Subjects
1Q,金/Fri.,4,,,FⅡ220,021014EB,アジア太平洋の宗教EB,Religions of the Asia PacificEB,KIANINEJAD Azra,KIANINEJAD Azra,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,金/Fri.,4,,,F201,021043EB,日本国憲法EB,Constitution of JapanEB,上子 秋生,KAMIKO AKIO,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
